article,efo,count,dbName,dbId
PMC4344607,"substrate",4,,EFO_0005061
PMC4344607,"sterile",4,,EFO_0000545
PMC4344607,"software",3,,EFO_0002029
PMC4344607,"gene names",2,,EFO_0002605
PMC4344607,"disease",2,,EFO_0000408
PMC4344607,"environmental factors",1,,EFO_0000469
PMC4344607,"array",1,,EFO_0002698
PMC4344607,"backbone",1,,EFO_0001369
PMC4344607,"acids",1,,EFO_0004416
PMC4344607,"survival",1,,EFO_0000714
PMC4344607,"stems",1,,EFO_0001040
PMC4344607,"transgenic",1,,EFO_0004020
PMC4344607,"exposure",1,,EFO_0000487
PMC4344607,"data file",1,,EFO_0004095
PMC4346696,"disease",14,,EFO_0000408
PMC4346696,"dietary",11,,EFO_0002755
PMC4346696,"weight",7,,EFO_0004338
PMC4346696,"seeds",6,,EFO_0000991
PMC4346696,"body weight gains",5,,EFO_0004566
PMC4346696,"mortality",4,,EFO_0004352
PMC4346696,"pathogens",4,,EFO_0000643
PMC4346696,"strains",3,,EFO_0005135
PMC4346696,"European",3,,EFO_0003156
PMC4346696,"doses",3,,EFO_0000428
PMC4346696,"mg/kg",3,,EFO_0002902
PMC4346696,"acids",2,,EFO_0004416
PMC4346696,"American",2,,EFO_0003151
PMC4346696,"Asian",2,,EFO_0003152
PMC4346696,"developmental stages",2,,EFO_0000399
PMC4346696,"temperatures",2,,EFO_0001702
PMC4346696,"Fruits",2,,EFO_0001028
PMC4346696,"survival",2,,EFO_0000714
PMC4346696,"African",1,,EFO_0004561
PMC4346696,"cold",1,,EFO_0000341
PMC4346696,"array",1,,EFO_0002698
PMC4346696,"exposure",1,,EFO_0000487
PMC4346696,"muscles",1,,EFO_0001949
PMC4346696,"bark",1,,EFO_0001041
PMC4346696,"g/kg",1,,EFO_0002897
PMC4346696,"neonatal",1,,EFO_0001372
PMC4346696,"hand",1,,EFO_0000877
PMC4346696,"proximal",1,,EFO_0001661
PMC4346696,"leaf",1,,EFO_0000993
PMC4346696,"virgin",1,,EFO_0002951
PMC4353025,"hands",6,,EFO_0000877
PMC4353025,"temperatures",2,,EFO_0001702
PMC4353025,"procedure",2,,EFO_0002571
PMC4353025,"pump",1,,EFO_0000836
PMC4353025,"roots",1,,EFO_0000989
PMC4353025,"barks",1,,EFO_0001041
PMC4353025,"African",1,,EFO_0004561
PMC4353025,"distal",1,,EFO_0001655
PMC4353025,"substrate",1,,EFO_0005061
PMC4353025,"acid",1,,EFO_0004416
PMC4353025,"interleukin",1,,EFO_0004100
